Дата;Номер духовки;Название программы;Программа;ID события;Печь;Количество духовок
2024-10-31 06:50:15.000;1;Программа 1;1;15;Печь 1;2
2024-10-31 06:58:37.000;1;Программа 1;1;1;Печь 1;2
2024-10-31 06:59:59.000;1;Программа 2;2;15;Печь 1;2
2024-10-31 07:01:41.000;1;Программа 2;2;1;Печь 1;2
2024-10-31 07:05:42.000;1;Программа 2;2;8;Печь 1;2
2024-10-31 07:05:45.000;1;Программа 2;2;20;Печь 1;2
2024-10-31 07:06:17.000;1;Программа 2;2;21;Печь 1;2
2024-10-31 07:07:37.000;1;Программа 2;2;1;Печь 1;2
2024-10-31 07:17:49.000;1;Программа 2;2;20;Печь 1;2
2024-10-31 07:18:07.000;1;Программа 2;2;21;Печь 1;2
2024-10-31 07:18:07.000;1;Программа 2;2;16;Печь 1;2
2024-10-31 07:44:56.000;1;Программа 2;2;17;Печь 1;2
2024-10-31 07:45:12.000;1;Программа 2;2;18;Печь 1;2
2024-10-31 07:45:12.000;1;Программа 2;2;15;Печь 1;2
2024-10-31 07:45:14.000;1;Программа 2;2;8;Печь 1;2
2024-10-31 07:45:14.000;1;Программа 2;2;20;Печь 1;2
2024-10-31 07:45:35.000;1;Программа 2;2;21;Печь 1;2
2024-10-31 07:45:39.000;1;Программа 1;1;15;Печь 1;2
2024-10-31 07:46:31.000;1;Программа 1;1;1;Печь 1;2
2024-10-31 07:46:37.000;1;Программа 1;1;20;Печь 1;2
2024-10-31 07:46:56.000;1;Программа 1;1;21;Печь 1;2
2024-10-31 07:46:57.000;1;Программа 1;1;16;Печь 1;2
2024-10-31 08:00:36.000;1;Программа 1;1;17;Печь 1;2
2024-10-31 08:00:41.000;1;Программа 1;1;18;Печь 1;2
2024-10-31 08:00:41.000;1;Программа 1;1;15;Печь 1;2
2024-10-31 08:00:41.000;1;Программа 1;1;1;Печь 1;2
2024-10-31 08:00:42.000;1;Программа 1;1;8;Печь 1;2
2024-10-31 08:00:43.000;1;Программа 1;1;20;Печь 1;2
2024-10-31 08:01:02.000;1;Программа 1;1;21;Печь 1;2
2024-10-31 08:01:05.000;1;Программа 3;3;15;Печь 1;2
2024-10-31 08:02:07.000;1;Программа 3;3;1;Печь 1;2
2024-10-31 08:02:21.000;1;Программа 3;3;20;Печь 1;2
2024-10-31 08:02:38.000;1;Программа 3;3;21;Печь 1;2
2024-10-31 08:02:38.000;1;Программа 3;3;16;Печь 1;2
2024-10-31 08:05:47.000;1;Программа 3;3;17;Печь 1;2
2024-10-31 08:05:48.000;1;Программа 3;3;18;Печь 1;2
2024-10-31 08:05:48.000;1;Программа 3;3;15;Печь 1;2
2024-10-31 08:05:50.000;1;Программа 3;3;8;Печь 1;2
2024-10-31 08:05:52.000;1;Программа 3;3;20;Печь 1;2
2024-10-31 08:06:11.000;1;Программа 3;3;21;Печь 1;2
2024-10-31 08:06:41.000;1;Программа 3;3;20;Печь 1;2
2024-10-31 08:07:02.000;1;Программа 3;3;21;Печь 1;2
2024-10-31 08:27:03.000;1;Программа 3;3;20;Печь 1;2
2024-10-31 08:27:29.000;1;Программа 3;3;21;Печь 1;2
2024-10-31 08:27:32.000;1;Программа 5;5;15;Печь 1;2
2024-10-31 08:32:25.000;1;Программа 5;5;1;Печь 1;2
2024-10-31 08:32:31.000;1;Программа 5;5;20;Печь 1;2
2024-10-31 08:32:52.000;1;Программа 5;5;21;Печь 1;2
2024-10-31 08:32:52.000;1;Программа 5;5;16;Печь 1;2
2024-10-31 08:39:01.000;1;Программа 5;5;17;Печь 1;2
2024-10-31 08:39:15.000;1;Программа 5;5;18;Печь 1;2
2024-10-31 08:39:15.000;1;Программа 5;5;15;Печь 1;2
2024-10-31 08:39:16.000;1;Программа 5;5;8;Печь 1;2
2024-10-31 08:39:19.000;1;Программа 5;5;20;Печь 1;2
2024-10-31 08:39:42.000;1;Программа 5;5;21;Печь 1;2
2024-10-31 10:36:28.000;1;Программа 3;3;15;Печь 1;2
2024-10-31 10:42:51.000;1;Программа 3;3;1;Печь 1;2
2024-10-31 10:43:40.000;1;Программа 3;3;20;Печь 1;2
2024-10-31 10:43:59.000;1;Программа 3;3;21;Печь 1;2
2024-10-31 10:44:00.000;1;Программа 3;3;16;Печь 1;2
2024-10-31 10:47:29.000;1;Программа 3;3;17;Печь 1;2
2024-10-31 10:47:38.000;1;Программа 3;3;18;Печь 1;2
2024-10-31 10:47:38.000;1;Программа 3;3;15;Печь 1;2
2024-10-31 10:48:57.000;1;Программа 3;3;1;Печь 1;2
2024-10-31 10:49:11.000;1;Программа 3;3;8;Печь 1;2
2024-10-31 10:49:14.000;1;Программа 3;3;20;Печь 1;2
2024-10-31 10:49:37.000;1;Программа 3;3;21;Печь 1;2
2024-10-31 12:34:21.000;1;Программа 5;5;15;Печь 1;2
2024-10-31 12:41:04.000;1;Программа 5;5;1;Печь 1;2
2024-10-31 12:41:09.000;1;Программа 5;5;20;Печь 1;2
2024-10-31 12:41:33.000;1;Программа 5;5;21;Печь 1;2
2024-10-31 12:41:33.000;1;Программа 5;5;16;Печь 1;2
2024-10-31 12:47:52.000;1;Программа 5;5;17;Печь 1;2
2024-10-31 12:48:15.000;1;Программа 5;5;18;Печь 1;2
2024-10-31 12:48:15.000;1;Программа 5;5;15;Печь 1;2
2024-10-31 12:48:16.000;1;Программа 5;5;8;Печь 1;2
2024-10-31 12:48:17.000;1;Программа 5;5;20;Печь 1;2
2024-10-31 12:48:42.000;1;Программа 5;5;21;Печь 1;2
2024-10-31 12:50:04.000;1;Программа 4;4;15;Печь 1;2
2024-10-31 12:51:27.000;1;Программа 4;4;1;Печь 1;2
2024-10-31 12:52:32.000;1;Программа 4;4;20;Печь 1;2
2024-10-31 12:52:54.000;1;Программа 4;4;21;Печь 1;2
2024-10-31 12:52:56.000;1;Программа 4;4;16;Печь 1;2
2024-10-31 13:16:25.000;1;Программа 4;4;17;Печь 1;2
2024-10-31 13:16:51.000;1;Программа 4;4;18;Печь 1;2
2024-10-31 13:16:51.000;1;Программа 4;4;15;Печь 1;2
2024-10-31 13:16:52.000;1;Программа 4;4;8;Печь 1;2
2024-10-31 13:16:53.000;1;Программа 4;4;20;Печь 1;2
2024-10-31 13:17:14.000;1;Программа 4;4;21;Печь 1;2
2024-10-31 14:53:09.000;1;Программа 5;5;15;Печь 1;2
2024-10-31 14:59:50.000;1;Программа 5;5;1;Печь 1;2
2024-10-31 14:59:56.000;1;Программа 5;5;20;Печь 1;2
2024-10-31 15:00:18.000;1;Программа 5;5;21;Печь 1;2
2024-10-31 15:00:18.000;1;Программа 5;5;16;Печь 1;2
2024-10-31 15:06:27.000;1;Программа 5;5;17;Печь 1;2
2024-10-31 15:06:40.000;1;Программа 5;5;18;Печь 1;2
2024-10-31 15:06:40.000;1;Программа 5;5;15;Печь 1;2
2024-10-31 15:06:41.000;1;Программа 5;5;8;Печь 1;2
2024-10-31 15:06:43.000;1;Программа 5;5;20;Печь 1;2
2024-10-31 15:07:12.000;1;Программа 5;5;21;Печь 1;2
2024-10-31 16:26:13.000;1;Программа 4;4;15;Печь 1;2
2024-10-31 16:30:28.000;1;Программа 4;4;1;Печь 1;2
